official_code,name,source,type,deck_origin,complexity,vertical_slice_role,script_path,script_found,database_found,source_art_path,art_asset,image_available,test_status,notes,database_name,database_alias
16255173,O Grande Júpiter,official,Monstro de Efeito,allcards-numeric-0001-2500,intermediate,,official/c16255173.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16255173.jpg,Assets/StreamingAssets/Ygo/Art/16255173.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,The Grand Jupiter,
16255442,Luz do Conhecimento,official,Carta de Armadilha,allcards-numeric-0001-2500,intermediate,,official/c16255442.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16255442.jpg,Assets/StreamingAssets/Ygo/Art/16255442.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Beckoning Light,
16259549,Número 49: Melovidente,official,Monstro Xyz,allcards-numeric-0001-2500,extra_deck,,official/c16259549.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16259549.jpg,Assets/StreamingAssets/Ygo/Art/16259549.jpg,true,pending,Imported from starter-decks-2026-08.,Number 49: Fortune Tune,
16261341,Sagrado Arquicavaleiro Celeste Parshath,official,Monstro de Efeito,allcards-numeric-0001-2500,negation,,official/c16261341.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16261341.jpg,Assets/StreamingAssets/Ygo/Art/16261341.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Sacred Arch-Airknight Parshath,
16268841,Zolga,official,Monstro de Efeito,allcards-numeric-0001-2500,trigger,,official/c16268841.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16268841.jpg,Assets/StreamingAssets/Ygo/Art/16268841.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Zolga,
16269385,Clube dos Travesso-Guris,official,Carta de Magia,allcards-numeric-0001-2500,trigger,,official/c16269385.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16269385.jpg,Assets/StreamingAssets/Ygo/Art/16269385.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Prank-Kids Place,
16272453,Habilidade Ninjitsu da Alquimia,official,Carta de Magia,allcards-numeric-0001-2500,trigger,,official/c16272453.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16272453.jpg,Assets/StreamingAssets/Ygo/Art/16272453.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Armor Ninjitsu Art of Alchemy,
16278116,Vínculo do Dragão,official,Carta de Armadilha,allcards-numeric-0001-2500,continuous,,official/c16278116.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16278116.jpg,Assets/StreamingAssets/Ygo/Art/16278116.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Dragon's Bind,
16279989,Stein Fantardil,official,Monstro de Efeito,allcards-numeric-0001-2500,trigger,,official/c16279989.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16279989.jpg,Assets/StreamingAssets/Ygo/Art/16279989.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Ghostrick Stein,
16304628,"Gaia, o HERÓI do Elemento",official,Monstro de Fusão,allcards-numeric-0001-2500,extra_deck,,official/c16304628.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16304628.jpg,Assets/StreamingAssets/Ygo/Art/16304628.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Elemental HERO Gaia,
