official_code,script_code,origin,card_type
52607696,52607696,ygoprodeck_nine_deck_batch,4
38761908,38761908,ygoprodeck_nine_deck_batch,4
64765016,64765016,ygoprodeck_nine_deck_batch,4
41488249,41488249,ygoprodeck_nine_deck_batch,4
53329234,53329234,ygoprodeck_nine_deck_batch,4
9785661,9785661,ygoprodeck_nine_deck_batch,97
30128445,30128445,ygoprodeck_nine_deck_batch,8388641
75083197,75083197,ygoprodeck_nine_deck_batch,8388641
64689404,64689404,ygoprodeck_nine_deck_batch,8388641
71100270,71100270,ygoprodeck_nine_deck_batch,8388641
80796456,80796456,ygoprodeck_nine_deck_batch,8388641
47195442,47195442,ygoprodeck_nine_deck_batch,8388641
54191698,54191698,ygoprodeck_nine_deck_batch,8388641
56410769,56410769,ygoprodeck_nine_deck_batch,8388641
5402805,5402805,ygoprodeck_nine_deck_batch,67108865
84121193,84121193,ygoprodeck_nine_deck_batch,67108897
9763474,9763474,ygoprodeck_nine_deck_batch,67108897
49725936,49725936,ygoprodeck_nine_deck_batch,67108897
31226177,31226177,ygoprodeck_nine_deck_batch,67108897
27520594,,ygoprodeck_nine_deck_batch,17
66407907,66407907,ygoprodeck_nine_deck_batch,33
16759958,16759958,ygoprodeck_nine_deck_batch,4129
14169843,14169843,ygoprodeck_nine_deck_batch,33
24689197,24689197,ygoprodeck_nine_deck_batch,4129
96789758,96789758,ygoprodeck_nine_deck_batch,33
71734607,71734607,ygoprodeck_nine_deck_batch,33
132308,132308,ygoprodeck_nine_deck_batch,33
8129306,8129306,ygoprodeck_nine_deck_batch,33
71002019,71002019,ygoprodeck_nine_deck_batch,33
33491462,33491462,ygoprodeck_nine_deck_batch,33
48686504,48686504,ygoprodeck_nine_deck_batch,33
31615285,31615285,ygoprodeck_nine_deck_batch,33
83610035,83610035,ygoprodeck_nine_deck_batch,33
76869711,76869711,ygoprodeck_nine_deck_batch,524290
69164989,69164989,ygoprodeck_nine_deck_batch,2
911883,911883,ygoprodeck_nine_deck_batch,2
53286626,53286626,ygoprodeck_nine_deck_batch,2
25861589,25861589,ygoprodeck_nine_deck_batch,2
2295440,2295440,ygoprodeck_nine_deck_batch,2
68941332,68941332,ygoprodeck_nine_deck_batch,4
92266279,92266279,ygoprodeck_nine_deck_batch,131076
15177750,15177750,ygoprodeck_nine_deck_batch,131076
93896655,93896655,ygoprodeck_nine_deck_batch,67108897
65563871,65563871,ygoprodeck_nine_deck_batch,67108897
